10	16	29-40
10	17	29-22
10	18	29-24
10	19	29-26
10	20	29-28
10	21	28-33
10	22	28-35
10	23	28-37
10	24	28-39
10	25	28-21
10	26	28-23
10	27	28-25
10	28	28-27
10	29	28-29
10	30	28-31
10	31	33-38
10	32	33-40
11	1	27-22
11	2	27-24
11	3	25-30
11	4	25-32
11	5	25-34
11	6	25-36
11	7	25-38
11	8	25-40
11	9	25-22
11	10	25-24
11	11	25-26
11	12	25-28
11	13	24-33
11	14	24-35
11	15	24-37
11	16	24-39
11	17	24-21
11	18	24-23
11	19	24-25
11	20	24-27
11	21	24-29
11	22	24-31
11	23	21-38
11	24	21-40
11	25	21-22
11	26	21-24
11	27	21-26
11	28	21-28
11	29	21-30
11	30	21-32
11	31	21-34
11	32	21-36
12	1	32-21
12	2	32-23
12	3	32-25
12	4	32-27
12	5	32-29
12	6	23-34
12	7	23-36
12	8	23-38
12	9	23-22
12	10	23-24
12	11	23-26
12	12	23-28
12	13	23-30
12	14	23-32
12	15	22-37
12	16	22-39
12	17	22-21
12	18	22-23
12	19	22-25
12	20	22-27
12	21	22-29
12	22	22-31
12	23	22-33
12	24	22-35
12	25	27-26
12	26	27-28
12	27	27-30
12	28	27-32
12	29	27-34
12	30	27-36
12	31	27-38
12	32	27-40
13	1	35-22
13	2	35-24
13	3	35-26
13	4	35-28
13	5	35-30
13	6	31-22
13	7	30-37
13	8	30-39
13	9	34-31
13	10	34-33
13	11	34-35
13	12	34-37
13	13	34-39
13	14	30-31
13	15	30-33
13	16	30-35
13	17	34-21
13	18	34-23
13	19	34-25
13	20	34-27
13	21	34-29
13	22	30-25
13	23	30-27
13	24	30-29
13	25	32-31
13	26	32-33
13	27	32-35
13	28	32-37
13	29	32-39
13	30	30-21
13	31	30-23
13	32	23-40
14	1	37-22
14	2	37-24
14	3	37-26
14	4	37-28
14	5	37-30
14	6	37-32
14	7	37-34
14	8	37-36
14	9	36-25
14	10	36-27
14	11	36-29
14	12	36-31
14	13	36-33
14	14	36-35
14	15	36-37
14	16	36-39
