M10-T1-S	1	0	0	0
M10-T2-S	1	0	0	0
M10-T3-S	1	0	0	0
M10-T4-S	1	0	0	0
M10-T1-C	1	1	0	0
M10-T2-C	1	1	0	0
M10-T3-C	1	1	0	0
M10-T4-C	1	1	0	0
T1	0	0	0	0
T2	0	0	0	0
Veto	0	0	0	0
T1Nim	0	0	0	0
T2Nim	0	0	0	0
VetoNim	0	0	0	0
Coin	0	0	0	0
M11-T1-S	1	0	0	0
M11-T2-S	1	0	0	0
M11-T3-S	1	0	0	0
M11-T4-S	1	0	0	0
M11-T6-S	1	0	0	0
M11-T7-S	1	0	0	0
M11-T8-S	1	0	0	0
M11-T9-S	1	0	0	0
M11-T1-C	1	1	0	0
M11-T2-C	1	1	0	0
M11-T3-C	1	1	0	0
M11-T4-C	1	1	0	0
M11-T6-C	1	1	0	0
M11-T7-C	1	1	0	0
M11-T8-C	1	1	0	0
M11-T9-C	1	1	0	0
M1-T1-S	1	0	0	0
M1-T2-S	1	0	0	0
M1-T3-S	1	0	0	0
M1-T4-S	1	0	0	0
M4-T1-S	1	0	0	0
M4-T2-S	1	0	0	0
M4-T3-S	1	0	0	0
M4-T4-S	1	0	0	0
M7-T1-S	1	0	0	0
M7-T2-S	1	0	0	0
M7-T3-S	1	0	0	0
M7-T4-S	1	0	0	0
M8-T1-S	1	0	0	0
M8-T2-S	1	0	0	0
M8-T3-S	1	0	0	0
M8-T4-S	1	0	0	0
M3-T1-S	1	0	0	0
M3-T2-S	1	0	0	0
M3-T3-S	1	0	0	0
M3-T4-S	1	0	0	0
M2-T1-S	1	0	0	0
M2-T2-S	1	0	0	0
M2-T3-S	1	0	0	0
M2-T4-S	1	0	0	0
M6-T1-S	1	0	0	0
M6-T2-S	1	0	0	0
M6-T3-S	1	0	0	0
M6-T4-S	1	0	0	0
M9-T1-S	1	0	0	0
M9-T2-S	1	0	0	0
M9-T3-S	1	0	0	0
M9-T4-S	1	0	0	0
M1-T1-C	1	1	0	0
M1-T2-C	1	1	0	0
M1-T3-C	1	1	0	0
M1-T4-C	1	1	0	0
M4-T1-C	1	1	0	0
M4-T2-C	1	1	0	0
M4-T3-C	1	1	0	0
M4-T4-C	1	1	0	0
M7-T1-C	1	1	0	0
M7-T2-C	1	1	0	0
M7-T3-C	1	1	0	0
M7-T4-C	1	1	0	0
M8-T1-C	1	1	0	0
M8-T2-C	1	1	0	0
M8-T3-C	1	1	0	0
M8-T4-C	1	1	0	0
M3-T1-C	1	1	0	0
M3-T2-C	1	1	0	0
M3-T3-C	1	1	0	0
M3-T4-C	1	1	0	0
M2-T1-C	1	1	0	0
M2-T2-C	1	1	0	0
M2-T3-C	1	1	0	0
M2-T4-C	1	1	0	0
M6-T1-C	1	1	0	0
M6-T2-C	1	1	0	0
M6-T3-C	1	1	0	0
M6-T4-C	1	1	0	0
M9-T1-C	1	1	0	0
M9-T2-C	1	1	0	0
M9-T3-C	1	1	0	0
M9-T4-C	1	1	0	0
